44a - Proportion of seats held by women in national parliament

Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of seats held by women in national parliament,Southern Asia,4,Afghanistan,2017,Female,-,-,-,27.7108,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,50,Bangladesh,2017,Female,-,-,-,20.2857,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,64,Bhutan,2017,Female,-,-,-,8.5106,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,144,Sri Lanka,2017,Female,-,-,-,5.7778,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,356,India,2017,Female,-,-,-,11.8081,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,364,Iran (Islamic Republic of),2017,Female,-,-,-,5.8824,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,462,Maldives,2017,Female,-,-,-,5.8824,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,524,Nepal,2017,Female,-,-,-,29.5798,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Southern Asia,586,Pakistan,2017,Female,-,-,-,20.5882,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,8,Albania,2017,Female,-,-,-,22.8571,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,20,Andorra,2017,Female,-,-,-,32.1429,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,36,Australia,2017,Female,-,-,-,28.6667,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,40,Austria,2017,Female,-,-,-,30.6011,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,56,Belgium,2017,Female,-,-,-,38,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,70,Bosnia and Herzegovina,2017,Female,-,-,-,21.4286,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,100,Bulgaria,2017,Female,-,-,-,19.1667,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,112,Belarus,2017,Female,-,-,-,34.5455,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,124,Canada,2017,Female,-,-,-,26.2687,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,191,Croatia,2017,Female,-,-,-,19.8675,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,196,Cyprus,2017,Female,-,-,-,17.8571,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,203,Czech Republic,2017,Female,-,-,-,20,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,208,Denmark,2017,Female,-,-,-,37.4302,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,233,Estonia,2017,Female,-,-,-,26.7327,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,246,Finland,2017,Female,-,-,-,42,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,250,France,2017,Female,-,-,-,25.8232,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,276,Germany,2017,Female,-,-,-,36.9841,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,300,Greece,2017,Female,-,-,-,18.3333,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,348,Hungary,2017,Female,-,-,-,10.0503,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,352,Iceland,2017,Female,-,-,-,47.619,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,372,Ireland,2017,Female,-,-,-,22.1519,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,376,Israel,2017,Female,-,-,-,27.5,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,380,Italy,2017,Female,-,-,-,30.9524,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,392,Japan,2017,Female,-,-,-,9.2632,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,428,Latvia,2017,Female,-,-,-,16,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,438,Liechtenstein,2017,Female,-,-,-,12,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,440,Lithuania,2017,Female,-,-,-,21.2766,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,442,Luxembourg,2017,Female,-,-,-,28.3333,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,470,Malta,2017,Female,-,-,-,12.5,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,492,Monaco,2017,Female,-,-,-,20.8333,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,498,Republic of Moldova,2017,Female,-,-,-,22.7723,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,499,Montenegro,2017,Female,-,-,-,23.4568,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,528,Netherlands,2017,Female,-,-,-,38,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,554,New Zealand,2017,Female,-,-,-,34.1667,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,578,Norway,2017,Female,-,-,-,39.645,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,616,Poland,2017,Female,-,-,-,28.0435,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,620,Portugal,2017,Female,-,-,-,34.7826,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,642,Romania,2017,Female,-,-,-,20.6687,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,643,Russian Federation,2017,Female,-,-,-,15.7778,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,674,San Marino,2017,Female,-,-,-,26.6667,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,688,Serbia,2017,Female,-,-,-,34.4,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,703,Slovakia,2017,Female,-,-,-,20,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,705,Slovenia,2017,Female,-,-,-,36.6667,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,724,Spain,2017,Female,-,-,-,39.1429,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,752,Sweden,2017,Female,-,-,-,43.553,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,756,Switzerland,2017,Female,-,-,-,32.5,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,804,Ukraine,2017,Female,-,-,-,12.2931,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,807,North Macedonia,2017,Female,-,-,-,31.6667,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
Proportion of seats held by women in national parliament,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,2017,Female,-,-,-,30,-,-,Percentage,Country data,-,Annual data as of 1 Feb of given year.,-,-,-,-
