43 - Women’s share of government ministerial positions

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Women’s share of government ministerial positions,Southern Asia,4,Afghanistan,2014,Female,10,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,50,Bangladesh,2014,Female,6.67,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,64,Bhutan,2014,Female,10,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,144,Sri Lanka,2014,Female,7.14,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,356,India,2014,Female,22.22,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,364,Iran (Islamic Republic of),2014,Female,10,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,462,Maldives,2014,Female,12.5,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,524,Nepal,2014,Female,13.64,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,586,Pakistan,2014,Female,0,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,8,Albania,2014,Female,35,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,20,Andorra,2014,Female,25,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,36,Australia,2014,Female,17.24,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,40,Austria,2014,Female,30.77,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,56,Belgium,2014,Female,23.08,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,70,Bosnia and Herzegovina,2014,Female,0,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,100,Bulgaria,2014,Female,35,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,112,Belarus,2014,Female,10.71,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,124,Canada,2014,Female,30.77,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,191,Croatia,2014,Female,20,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,196,Cyprus,2014,Female,9.09,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,203,Czech Republic,2014,Female,18.75,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,208,Denmark,2014,Female,26.32,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,233,Estonia,2014,Female,46.15,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,246,Finland,2014,Female,62.5,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,250,France,2014,Female,50,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,276,Germany,2014,Female,33.33,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,300,Greece,2014,Female,10,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,348,Hungary,2014,Female,0,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,352,Iceland,2014,Female,44.44,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,372,Ireland,2014,Female,28.57,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,376,Israel,2014,Female,18.18,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,380,Italy,2014,Female,43.75,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,392,Japan,2014,Female,22.22,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,428,Latvia,2014,Female,23.08,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,438,Liechtenstein,2014,Female,50,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,440,Lithuania,2014,Female,21.43,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,442,Luxembourg,2014,Female,26.67,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,470,Malta,2014,Female,7.14,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,492,Monaco,2014,Female,20,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,498,Republic of Moldova,2014,Female,27.78,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,499,Montenegro,2014,Female,16.67,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,528,Netherlands,2014,Female,46.67,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,554,New Zealand,2014,Female,33.33,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,578,Norway,2014,Female,47.06,-,-,Country data,National,-,-,-,-,-,-,-
